year,iso3,value
1750,ABW,0
1751,ABW,0
1752,ABW,0
1753,ABW,0
1754,ABW,0
1755,ABW,0
1756,ABW,0
1757,ABW,0
1758,ABW,0
1759,ABW,0
1760,ABW,0
1761,ABW,0
1762,ABW,0
1763,ABW,0
1764,ABW,0
1765,ABW,0
1766,ABW,0
1767,ABW,0
1768,ABW,0
1769,ABW,0
1770,ABW,0
1771,ABW,0
1772,ABW,0
1773,ABW,0
1774,ABW,0
1775,ABW,0
1776,ABW,0
1777,ABW,0
1778,ABW,0
1779,ABW,0
1780,ABW,0
1781,ABW,0
1782,ABW,0
1783,ABW,0
1784,ABW,0
1785,ABW,0
1786,ABW,0
1787,ABW,0
1788,ABW,0
1789,ABW,0
1790,ABW,0
1791,ABW,0
1792,ABW,0
1793,ABW,0
1794,ABW,0
1795,ABW,0
1796,ABW,0
1797,ABW,0
1798,ABW,0
1799,ABW,0
1800,ABW,0
1801,ABW,0
1802,ABW,0
1803,ABW,0
1804,ABW,0
1805,ABW,0
1806,ABW,0
1807,ABW,0
1808,ABW,0
1809,ABW,0
1810,ABW,0
1811,ABW,0
1812,ABW,0
1813,ABW,0
1814,ABW,0
1815,ABW,0
1816,ABW,0
1817,ABW,0
1818,ABW,0
1819,ABW,0
1820,ABW,0
1821,ABW,0
1822,ABW,0
1823,ABW,0
1824,ABW,0
1825,ABW,0
1826,ABW,0
1827,ABW,0
1828,ABW,0
1829,ABW,0
1830,ABW,0
1831,ABW,0
1832,ABW,0
1833,ABW,0
1834,ABW,0
1835,ABW,0
1836,ABW,0
1837,ABW,0
1838,ABW,0
1839,ABW,0
1840,ABW,0
1841,ABW,0
1842,ABW,0
1843,ABW,0
1844,ABW,0
1845,ABW,0
1846,ABW,0
1847,ABW,0
1848,ABW,0
1849,ABW,0
1850,ABW,0
1851,ABW,0
1852,ABW,0
1853,ABW,0
1854,ABW,0
1855,ABW,0
1856,ABW,0
1857,ABW,0
1858,ABW,0
1859,ABW,0
1860,ABW,0
1861,ABW,0
1862,ABW,0
1863,ABW,0
1864,ABW,0
1865,ABW,0
1866,ABW,0
1867,ABW,0
1868,ABW,0
1869,ABW,0
1870,ABW,0
1871,ABW,0
1872,ABW,0
1873,ABW,0
1874,ABW,0
1875,ABW,0
1876,ABW,0
1877,ABW,0
1878,ABW,0
1879,ABW,0
1880,ABW,0
1881,ABW,0
1882,ABW,0
1883,ABW,0
1884,ABW,0
1885,ABW,0
1886,ABW,0
1887,ABW,0
1888,ABW,0
1889,ABW,0
1890,ABW,0
1891,ABW,0
1892,ABW,0
1893,ABW,0
1894,ABW,0
1895,ABW,0
1896,ABW,0
1897,ABW,0
1898,ABW,0
1899,ABW,0
1900,ABW,0
1901,ABW,0
1902,ABW,0
1903,ABW,0
1904,ABW,0
1905,ABW,0
1906,ABW,0
1907,ABW,0
1908,ABW,0
1909,ABW,0
1910,ABW,0
1911,ABW,0
1912,ABW,0
1913,ABW,0
1914,ABW,0
1915,ABW,0
1916,ABW,0
1917,ABW,0
1918,ABW,0
1919,ABW,0
1920,ABW,0
1921,ABW,0
1922,ABW,0
1923,ABW,0
1924,ABW,0
1925,ABW,0
1926,ABW,0
1927,ABW,0
1928,ABW,0
1929,ABW,0
1930,ABW,0
1931,ABW,0
1932,ABW,0
1933,ABW,0
1934,ABW,0
1935,ABW,0
1936,ABW,0
1937,ABW,0
1938,ABW,0
1939,ABW,0
1940,ABW,0
1941,ABW,0
1942,ABW,0
1943,ABW,0
1944,ABW,0
1945,ABW,0
1946,ABW,0
1947,ABW,0
1948,ABW,0
1949,ABW,0
1950,ABW,0
1951,ABW,0
1952,ABW,0
1953,ABW,0
1954,ABW,0
1955,ABW,0
1956,ABW,0
1957,ABW,0
1958,ABW,0
1959,ABW,0
1960,ABW,0
1961,ABW,0
1962,ABW,0
1963,ABW,0
1964,ABW,0
1965,ABW,0
1966,ABW,0
1967,ABW,0
1968,ABW,0
1969,ABW,0
1970,ABW,0
1971,ABW,0
1972,ABW,0
1973,ABW,0
1974,ABW,0
1975,ABW,0
1976,ABW,0
1977,ABW,0
1978,ABW,0
1979,ABW,0
1980,ABW,0
1981,ABW,0
1982,ABW,0
1983,ABW,0
1984,ABW,0
1985,ABW,0
1986,ABW,0
1987,ABW,0
1988,ABW,0
1989,ABW,0
1990,ABW,0
1991,ABW,0
1992,ABW,0
1993,ABW,0
1994,ABW,0
1995,ABW,0
1996,ABW,0
1997,ABW,0
1998,ABW,0
1999,ABW,0
2000,ABW,0
2001,ABW,0
2002,ABW,0
2003,ABW,0
2004,ABW,0
2005,ABW,0
2006,ABW,0
2007,ABW,0
2008,ABW,0
2009,ABW,0
2010,ABW,0
2011,ABW,0
2012,ABW,0
2013,ABW,0
2014,ABW,0
2015,ABW,0
2016,ABW,0
2017,ABW,0
2018,ABW,0
2019,ABW,0
2020,ABW,0
1750,AFG,0
1751,AFG,0.000209738245726271
1752,AFG,0.000269629759895776
1753,AFG,0.000293075793010351
1754,AFG,0.000298477636855919
1755,AFG,0.000321652059558711
1756,AFG,0.000331954079141884
1757,AFG,0.000335390544721797
1758,AFG,0.000334891889579588
1759,AFG,0.000347032008653919
1760,AFG,0.000317273253599619
1761,AFG,0.000321843830927472
1762,AFG,0.000343564266113614
1763,AFG,0.000359419766469388
1764,AFG,0.000367233394001037
1765,AFG,0.000362709674188547
1766,AFG,0.000339802503583558
1767,AFG,0.000374564603451132
1768,AFG,0.0003846208983846
1769,AFG,0.000392025022801023
