iso3,weight
ABW,1e-10
AFG,3508.9
AGO,5519.4
AIA,1e-10
ALB,1195.6000000000001
AND,1e-10
ARE,19.5
ARG,16344.7
ARM,1519.3
ASM,1e-10
ATG,1e-10
AUS,29845.7
AUT,17448.2
AZE,416.8
BDI,6399.3
BEL,5433.2
BEN,7168.2
BES,1e-10
BFA,14535.5
BGD,27023.5
BGR,6040.4000000000005
BHR,7.3
BHS,34.2
BIH,4322.6
BLM,1e-10
BLR,19463.5
BLZ,166.4
BMU,1e-10
BOL,3364.3999999999996
BRA,256963.69999999998
BRB,9.5
BRN,118.3
BTN,5149.9000000000005
BWA,797.4
CAF,2521.8
CAN,154102.7
CHE,4705.8
CHL,58157.100000000006
CHN,445827.1
CIV,11502.2
CMR,13355.4
COD,84601
COG,3587.9
COK,1e-10
COL,12800.1
COM,1e-10
CPV,204.7
CRI,4611.1
CUB,1776.4999999999998
CUW,1e-10
CYM,1e-10
CYP,9.7
CZE,15925.3
DEU,55460.2
DJI,378.3
DMA,8.1
DNK,3396.2999999999997
DOM,974.9
DZA,8558.099999999999
ECU,7646.700000000001
EGY,17891.000000000004
ERI,1e-10
ESH,1e-10
ESP,16444.2
EST,8597.1
ETH,108571.9
FIN,58264.5
FJI,705.8
FLK,1e-10
FRA,52343.100000000006
FRO,1e-10
FSM,1e-10
GAB,3197.9
GBR,11097.4
GEO,616.1
GGY,1e-10
GHA,44682.3
GIB,1e-10
GIN,12778.7
GLP,1e-10
GMB,874.0999999999999
GNB,2922.8
GNQ,997.8
GRC,1520.4
GRD,1e-10
GRL,1e-10
GTM,19987.100000000002
GUF,229.9
GUM,1e-10
GUY,1200.6
HND,8852
HRV,5246.6
HTI,2107.2000000000003
HUN,5909.8
IDN,115617.40000000001
IMN,1e-10
IND,350705.1
IRL,2885.6
IRN,2066.7000000000003
IRQ,175.6
ISL,1e-10
ISR,123.7
ITA,5688.8
JAM,734.9
JEY,1e-10
JOR,333.90000000000003
JPN,21384.4
KAZ,674.3000000000001
KEN,27201.2
KGZ,164.7
KHM,8112.3
KIR,1e-10
KNA,1e-10
KOR,5209.7
KWT,19.200000000000003
LAO,9460.5
LBN,25.9
LBR,8449
LBY,1113.8
LCA,10.1
LIE,1e-10
LKA,5684
LSO,2116.7999999999997
LTU,6968.4
LUX,346
LVA,12755.8
MAF,1e-10
MAR,7136.0999999999995
MCO,1e-10
MDA,1338.1000000000001
MDG,13687.7
MDV,16
MEX,44189
MHL,1e-10
MKD,703.9
MLI,6219.1
MLT,1e-10
MMR,43412.399999999994
MNE,1030.6
MNG,758.1999999999999
MNP,1e-10
MOZ,18727.6
MRT,1990.3999999999999
MSR,1e-10
MTQ,10.1
MUS,2.1
MWI,6967.9000000000005
MYS,20264.9
MYT,1e-10
NAM,1e-10
NCL,20.1
NER,11371.699999999999
NFK,1e-10
NGA,71896.3
NIC,6232.299999999999
NIU,1e-10
NLD,1543.3
NOR,12203.7
NPL,13524.599999999999
NRU,1e-10
NZL,29637.3
OMN,44.300000000000004
PAK,32321.4
PAN,1254.5
PCN,1e-10
PER,8541.199999999999
PHL,15967.6
PLW,1e-10
PNG,9486.9
POL,38293.1
PRI,1e-10
PRK,7539.700000000001
PRT,11062.900000000001
PRY,9389.6
PSE,1e-10
PYF,6.3
QAT,5.199999999999999
REU,105.6
ROU,16465.6
RUS,196359.1
RWA,5638.5
SAU,275.3
SDN,15480.8
SEN,6315.5
SGP,274.3
SHN,1e-10
SJM,1e-10
SLB,2393.7
SLE,5822.2
SLV,4252.1
SMR,1e-10
SOM,14044.699999999999
SPM,1e-10
SRB,7642.8
SSD,1e-10
STP,123.3
SUR,577.7
SVK,8884.4
SVN,4609.2
SWE,72943.7
SWZ,1698.9
SXM,1e-10
SYC,1e-10
SYR,91.4
TCA,1e-10
TCD,8211.6
TGO,4615.6
THA,37610.9
TJK,88.69999999999999
TKL,1e-10
TKM,0.1
TLS,99.8
TON,2.1
TTO,82.80000000000001
TUN,3923.1
TUR,23068.199999999997
TUV,1e-10
TZA,25662
UGA,44953.1
UKR,19253.7
URY,12119
USA,403308.2
UZB,34.8
VAT,1e-10
VCT,7.1000000000000005
VEN,6253.7
VGB,1e-10
VIR,1e-10
VNM,40399.1
VUT,129.6
WLF,1e-10
WSM,72.89999999999999
YEM,497.40000000000003
ZAF,26055.1
ZMB,10877.900000000001
ZWE,9622.4
