t,year,refyear,begyear,endyear,pred,tperiod
1,2015,2015,2013,2017,,1
2,2020,2020,2018,2022,1,2
3,2025,2025,2023,2027,2,3
4,2030,2030,2028,2032,3,4
5,2035,2035,2033,2037,4,5
6,2040,2040,2038,2042,5,6
7,2045,2045,2043,2047,6,7
8,2050,2050,2048,2052,7,8
9,2055,2055,2053,2057,8,9
10,2060,2060,2058,2062,9,10
11,2065,2065,2063,2067,10,11
12,2070,2070,2068,2072,11,12
13,2075,2075,2073,2077,12,13
14,2080,2080,2078,2082,13,14
15,2085,2085,2083,2087,14,15
16,2090,2090,2088,2092,15,16
17,2095,2095,2093,2097,16,17
18,2100,2100,2098,2102,17,18
19,2105,2105,2103,2107,18,19
20,2110,2110,2108,2112,19,20
21,2115,2115,2113,2117,20,21
22,2120,2120,2118,2122,21,22
23,2125,2125,2123,2127,22,23
24,2130,2130,2128,2132,23,24
25,2135,2135,2133,2137,24,25
26,2140,2140,2138,2142,25,26
27,2145,2145,2143,2147,26,27
28,2150,2150,2148,2152,27,28
29,2155,2155,2153,2157,28,29
30,2160,2160,2158,2162,29,30
31,2165,2165,2163,2167,30,31
32,2170,2170,2168,2172,31,32
33,2175,2175,2173,2177,32,33
34,2180,2180,2178,2182,33,34
35,2185,2185,2183,2187,34,35
36,2190,2190,2188,2192,35,36
37,2195,2195,2193,2197,36,37
38,2200,2200,2198,2202,37,38
39,2205,2205,2203,2207,38,39
40,2210,2210,2208,2212,39,40
41,2215,2215,2213,2217,40,41
42,2220,2220,2218,2222,41,42
43,2225,2225,2223,2227,42,43
44,2230,2230,2228,2232,43,44
45,2235,2235,2233,2237,44,45
46,2240,2240,2238,2242,45,46
47,2245,2245,2243,2247,46,47
48,2250,2250,2248,2252,47,48
49,2255,2255,2253,2257,48,49
50,2260,2260,2258,2262,49,50
51,2265,2265,2263,2267,50,51
52,2270,2270,2268,2272,51,52
53,2275,2275,2273,2277,52,53
54,2280,2280,2278,2282,53,54
55,2285,2285,2283,2287,54,55
56,2290,2290,2288,2292,55,56
57,2295,2295,2293,2297,56,57
58,2300,2300,2298,2302,57,58
