variable,iso3,year,value
government_revenue,BGD,1980,5.955
government_revenue,BEL,1980,47.317
government_revenue,CAN,1980,36.907
government_revenue,COL,1980,0.046
government_revenue,DNK,1980,48.759
government_revenue,GNQ,1980,44.422
government_revenue,SWZ,1980,20.418
government_revenue,ETH,1980,10.933
government_revenue,FIN,1980,46.745
government_revenue,FRA,1980,45.976
government_revenue,GHA,1980,2.875
government_revenue,GRC,1980,21.896
government_revenue,ISL,1980,35.26
government_revenue,JPN,1980,26.359
government_revenue,MDG,1980,11.728
government_revenue,MOZ,1980,12.738
government_revenue,NLD,1980,46.519
government_revenue,NOR,1980,49.022
government_revenue,PAK,1980,13.298
government_revenue,PRY,1980,15.001
government_revenue,SLB,1980,24.319
government_revenue,ESP,1980,28.994
government_revenue,KNA,1980,40.917
government_revenue,VCT,1980,22.094
government_revenue,SWE,1980,54.011
government_revenue,TWN,1980,22.384
government_revenue,GBR,1980,36.317
government_revenue,BGD,1981,6.02
government_revenue,BEL,1981,47.938
government_revenue,BTN,1981,49.89
government_revenue,BOL,1981,37.056
government_revenue,CAN,1981,38.94
government_revenue,COL,1981,0.036
government_revenue,DNK,1981,49.03
government_revenue,GNQ,1981,32.059
government_revenue,SWZ,1981,15.471
government_revenue,ETH,1981,11.988
government_revenue,FIN,1981,49.321
government_revenue,FRA,1981,46.55
government_revenue,GHA,1981,1.966
government_revenue,GRC,1981,20.893
government_revenue,HKG,1981,19.92
government_revenue,ISL,1981,36.594
government_revenue,IDN,1981,19.074
government_revenue,JPN,1981,27.689
government_revenue,MDG,1981,8.204
government_revenue,MNG,1981,35.861
government_revenue,MOZ,1981,16.403
government_revenue,NLD,1981,47.19
government_revenue,NOR,1981,47.855
government_revenue,PAK,1981,13.885
government_revenue,PRY,1981,13.415
government_revenue,SLB,1981,22.065
government_revenue,ESP,1981,29.785
government_revenue,KNA,1981,28.855
government_revenue,VCT,1981,24.024
government_revenue,SWE,1981,57.594
government_revenue,TWN,1981,22.817
government_revenue,GBR,1981,37.746
government_revenue,BGD,1982,5.814
government_revenue,BEL,1982,49.209
government_revenue,BTN,1982,37.631
government_revenue,BOL,1982,9.088
government_revenue,CAN,1982,39.501
government_revenue,CHN,1982,24.497
government_revenue,COL,1982,10.747
government_revenue,DNK,1982,47.635
government_revenue,GNQ,1982,36.374
government_revenue,SWZ,1982,18.213
government_revenue,ETH,1982,12.808
government_revenue,FIN,1982,48.83
government_revenue,FRA,1982,47.401
government_revenue,GHA,1982,2.715
government_revenue,GRC,1982,23.08
government_revenue,HKG,1982,16.264
government_revenue,ISL,1982,37.688
government_revenue,IDN,1982,17.086
government_revenue,JPN,1982,27.945
government_revenue,KEN,1982,8.592
government_revenue,LSO,1982,27.869
government_revenue,MDG,1982,7.314
