"Country","GHG","iso3"
"European Union (28)",4122.64041,NA
"European Union (15)",3354.177372,NA
"World",47598.55416,NA
"Afghanistan",30.75894237,"AFG"
"Albania",7.219109095,"ALB"
"Algeria",189.0811155,"DZA"
"Angola",199.7218778,"AGO"
"Antigua & Barbuda",1.136527432,"ATG"
"Argentina",405.0347549,"ARG"
"Armenia",9.304142072,"ARM"
"Australia",685.052937,"AUS"
"Austria",83.65443451,"AUT"
"Azerbaijan",69.33737508,"AZE"
"Bahamas, The",4.172847205,"BHS"
"Bahrain",33.25090111,"BHR"
"Bangladesh",189.8557786,"BGD"
"Barbados",3.349630118,"BRB"
"Belarus",75.34898241,"BLR"
"Belgium",125.1084542,"BEL"
"Belize",14.59340576,"BLZ"
"Benin",21.75512722,"BEN"
"Bhutan",-7.967647977,"BTN"
"Bolivia",136.4737383,"BOL"
"Bosnia & Herzegovina",27.75257131,"BIH"
"Botswana",23.90260863,"BWA"
"Brazil",1823.148349,"BRA"
"Brunei",22.0674984,"BRN"
"Bulgaria",46.22466822,"BGR"
"Burkina Faso",33.00993514,"BFA"
"Burundi",6.908962408,"BDI"
"Cambodia",49.11605056,"KHM"
"Cameroon",191.1991654,"CMR"
"Canada",856.2776049,"CAN"
"Cape Verde",0.430158563,"CPV"
"Central African Republic",60.51782924,"CAF"
"Chad",43.26816788,"TCD"
"Chile",93.73860728,"CHL"
"China",10684.2866,"CHN"
"Colombia",199.6809447,"COL"
"Equatorial Guinea",26.18013974,"GNQ"
"Eritrea",6.982769676,"ERI"
"Estonia",29.85633797,"EST"
"Ethiopia",143.8746081,"ETH"
"Costa Rica",4.972700619,"CRI"
"Cote d'Ivoire",35.77640906,"CIV"
"Croatia",11.75396235,"HRV"
"Cuba",34.79227717,"CUB"
"Cyprus",7.223029989,"CYP"
"Czech Republic",115.3365564,"CZE"
"Denmark",52.33321239,"DNK"
"Djibouti",2.575220132,"DJI"
"Dominica",0.318659928,"DMA"
"Dominican Republic",31.18440898,"DOM"
"Ecuador",138.1583334,"ECU"
"Egypt",287.9734207,"EGY"
"El Salvador",13.06858479,"SLV"
"Comoros",0.602732508,"COM"
"Congo, Rep.",17.71687662,"COG"
"Congo, Dem. Rep.",201.5297063,"COD"
"Cook Islands",0.185427822,"COK"
"Fiji",1.726562625,"FJI"
"Finland",69.36120687,"FIN"
"France",432.3958925,"FRA"
"Gabon",6.954793892,"GAB"
"Gambia, The",6.882637332,"GMB"
"Georgia",10.78226751,"GEO"
"Germany",810.2499287,"DEU"
"Ghana",58.84107835,"GHA"
"Greece",98.30510158,"GRC"
"Grenada",1.944335425,"GRD"
"Guatemala",39.27485172,"GTM"
"Guinea",28.87314493,"GIN"
"Guinea-Bissau",4.426919468,"GNB"
"Guyana",7.63708306,"GUY"
"Haiti",7.905155754,"HTI"
"Honduras",47.70171244,"HND"
"Hungary",63.42818752,"HUN"
"Iceland",2.642535603,"ISL"
"India",2887.083921,"IND"
"Indonesia",1981.003261,"IDN"
"Iran",711.8812101,"IRN"
"Iraq",256.4381336,"IRQ"
"Ireland",58.44684698,"IRL"
"Israel",93.81836966,"ISR"
"Italy",431.7653428,"ITA"
"Jamaica",9.585321501,"JAM"
"Japan",1207.300059,"JPN"
"Jordan",27.42307215,"JOR"
"Kazakhstan",291.4056604,"KAZ"
"Kenya",69.59774815,"KEN"
"Kiribati",0.076712257,"KIR"
"Korea, Dem. Rep. (North)",86.14037832,"PRK"
"Korea, Rep. (South)",661.3895145,"KOR"
"Kuwait",202.4698926,"KWT"
"Kyrgyzstan",-0.238300345,"KGZ"
"Laos",36.28130949,"LAO"
"Latvia",-3.258355674,"LVA"
"Lebanon",24.2962961,"LBN"
"Lesotho",2.040379154,"LSO"
"Liberia",16.86468256,"LBR"
"Libya",130.6048099,"LBY"
"Lithuania",26.59160688,"LTU"
"Luxembourg",11.17421367,"LUX"
"Macedonia, FYR",12.33584016,"MKD"
"Madagascar",57.65325417,"MDG"
"Malawi",16.58889583,"MWI"
"Malaysia",433.3344159,"MYS"
"Maldives",1.211222932,"MDV"
"Niue",0.087144617,"NIU"
"Norway",24.10374941,"NOR"
"Oman",109.3174241,"OMN"
"Pakistan",341.6455527,"PAK"
"Moldova",10.87739967,"MDA"
"Mongolia",59.11359131,"MNG"
"Morocco",72.50918804,"MAR"
"Mozambique",57.65541649,"MOZ"
"Myanmar",184.711937,"MMR"
"Namibia",22.49023687,"NAM"
"Nauru",0.174391565,"NRU"
"Nepal",40.33761217,"NPL"
"Netherlands",207.5298992,"NLD"
