# WITCH stochastic with three branches
# Stochastic tree with 3 branches starting in 2050
t,year,begyear,endyear,pred,tperiod
1,2005,2003,2007,,1
2,2010,2008,2012,1,2
3,2015,2013,2017,2,3
4,2020,2018,2022,3,4
5,2025,2023,2027,4,5
6,2030,2028,2032,5,6
7,2035,2033,2037,6,7
8,2040,2038,2042,7,8
9,2045,2043,2047,8,9
10_1,2050,2048,2052,9,10
11_1,2055,2053,2057,10_1,11
12_1,2060,2058,2062,11_1,12
13_1,2065,2063,2067,12_1,13
14_1,2070,2068,2072,13_1,14
15_1,2075,2073,2077,14_1,15
16_1,2080,2078,2082,15_1,16
17_1,2085,2083,2087,16_1,17
18_1,2090,2088,2092,17_1,18
19_1,2095,2093,2097,18_1,19
20_1,2100,2098,2102,19_1,20
21_1,2105,2103,2107,20_1,21
22_1,2110,2108,2112,21_1,22
23_1,2115,2113,2117,22_1,23
24_1,2120,2118,2122,23_1,24
25_1,2125,2123,2127,24_1,25
26_1,2130,2128,2132,25_1,26
27_1,2135,2133,2137,26_1,27
28_1,2140,2138,2142,27_1,28
29_1,2145,2143,2147,28_1,29
30_1,2150,2148,2152,29_1,30
10_2,2050,2048,2052,9,10
11_2,2055,2053,2057,10_2,11
12_2,2060,2058,2062,11_2,12
13_2,2065,2063,2067,12_2,13
14_2,2070,2068,2072,13_2,14
15_2,2075,2073,2077,14_2,15
16_2,2080,2078,2082,15_2,16
17_2,2085,2083,2087,16_2,17
18_2,2090,2088,2092,17_2,18
19_2,2095,2093,2097,18_2,19
20_2,2100,2098,2102,19_2,20
21_2,2105,2103,2107,20_2,21
22_2,2110,2108,2112,21_2,22
23_2,2115,2113,2117,22_2,23
24_2,2120,2118,2122,23_2,24
25_2,2125,2123,2127,24_2,25
26_2,2130,2128,2132,25_2,26
27_2,2135,2133,2137,26_2,27
28_2,2140,2138,2142,27_2,28
29_2,2145,2143,2147,28_2,29
30_2,2150,2148,2152,29_2,30
10_3,2050,2048,2052,9,10
11_3,2055,2053,2057,10_3,11
12_3,2060,2058,2062,11_3,12
13_3,2065,2063,2067,12_3,13
14_3,2070,2068,2072,13_3,14
15_3,2075,2073,2077,14_3,15
16_3,2080,2078,2082,15_3,16
17_3,2085,2083,2087,16_3,17
18_3,2090,2088,2092,17_3,18
19_3,2095,2093,2097,18_3,19
20_3,2100,2098,2102,19_3,20
21_3,2105,2103,2107,20_3,21
22_3,2110,2108,2112,21_3,22
23_3,2115,2113,2117,22_3,23
24_3,2120,2118,2122,23_3,24
25_3,2125,2123,2127,24_3,25
26_3,2130,2128,2132,25_3,26
27_3,2135,2133,2137,26_3,27
28_3,2140,2138,2142,27_3,28
29_3,2145,2143,2147,28_3,29
30_3,2150,2148,2152,29_3,30
