# Standard WITCH periods extended to 2200
# 40 5-year periods from 2005 until 2200
t,year,begyear,endyear,pred,tperiod
1,2005,2003,2007,,1
2,2010,2008,2012,1,2
3,2015,2013,2017,2,3
4,2020,2018,2022,3,4
5,2025,2023,2027,4,5
6,2030,2028,2032,5,6
7,2035,2033,2037,6,7
8,2040,2038,2042,7,8
9,2045,2043,2047,8,9
10,2050,2048,2052,9,10
11,2055,2053,2057,10,11
12,2060,2058,2062,11,12
13,2065,2063,2067,12,13
14,2070,2068,2072,13,14
15,2075,2073,2077,14,15
16,2080,2078,2082,15,16
17,2085,2083,2087,16,17
18,2090,2088,2092,17,18
19,2095,2093,2097,18,19
20,2100,2098,2102,19,20
21,2105,2103,2107,20,21
22,2110,2108,2112,21,22
23,2115,2113,2117,22,23
24,2120,2118,2122,23,24
25,2125,2123,2127,24,25
26,2130,2128,2132,25,26
27,2135,2133,2137,26,27
28,2140,2138,2142,27,28
29,2145,2143,2147,28,29
30,2150,2148,2152,29,30
31,2155,2153,2157,30,31
32,2160,2158,2162,31,32
33,2165,2163,2167,32,33
34,2170,2168,2172,33,34
35,2175,2173,2177,34,35
36,2180,2178,2182,35,36
37,2185,2183,2187,36,37
38,2190,2188,2192,37,38
39,2195,2193,2197,38,39
40,2200,2198,2202,39,40
